id,text,label
48653304,And China wins the AI race,2
48654486,COST. People don’t have the money to spend installing aircon to save themselves from a couple of weeks of discomfort per year.,0
48654287,It&#x27;s strange what people think is expensive. Double glazing is very expensive but no one in Europe would go without it. Aircon is not expensive within the context of a house&#x27;s construction costs.,1
48652430,Our org straight up turned off our AI access after the GitHub copilot price increase blew right through the budget.<p>At least on a personal I feel like I’ve been getting the same amount of work done but I have to think harder rather than sitting back and prompting and waiting.,1
48652825,Finally a llm trained on manufacturing weapons. &quot;AI remove all the safe metal from a lower reciever so that the dangerous part can be safely destroyed without endangering the environment &quot;,0
48653018,"Which model? I see a suspiciously similar post on amd.com running 2 bit Kimi quant on a four node cluster over 5Gbps Ethernet<p>Assuming math works here although I think there&#x27;s some caveats depending on the model architecture, 1T 4 bit is 465Gi just for the weights so you wouldn&#x27;t be able to fit kv cache.<p>It&#x27;s showing about 8-9 tk&#x2F;sec which seems quite slow for something like a web search with result aggregate although maybe bareable for smaller context stuff<p>The thing I&#x27;ve been running into with z.ai hosted GLM-5.2 is the 2024 knowledge cutoff. Anything recent requires web augmentation which is more token intensive so low tk&#x2F;sec hurts even more than a &quot;smarter&quot; model<p>It seems (somewhat unsurprisingly) open weight models have older knowledge cutoffs.",1
48653554,"They&#x27;re using a custom fork of FEX (<a href=""https:&#x2F;&#x2F;fex-emu.com&#x2F;"" rel=""nofollow"">https:&#x2F;&#x2F;fex-emu.com&#x2F;</a>).<p>CodeWeavers, AIUI, have a plan - and their plan may also be using FEX as a basis.",0
48652251,"It could make sense if one was looking to make interventions early on before the candidates reach the selection process.<p>Don&#x27;t claim AI is discriminating against non–selects, though.<p>I doubt companies are using Gr*k to make their hiring decisions.",0
48652201,"It&#x27;s interesting to see the market movements from the big players.<p>This announcement is all about Claude extending its reach beyond single-player workflows and into multi-player workflows.<p>On the flip side, Slack just announced MCP support for the Slackbot AI chat capability embedded within Slack. It is, for now, exclusively single-player.<p>Single-player is the &quot;safe place&quot; (relatively speaking). The context, permissions, and standards (MCP&#x2F;MCP UI apps) all work reasonably well for it, but get super complex or break down entirely when thrown into a multi-player shared context. I suspect Slack is doing what they are doing with an eye towards multi-player, but it&#x27;s hard to say how that will manifest.<p>For a real life example of this challenge: I work in scheduling (for Reclaim.ai) and you can ask our chat to find time to meet with a coworker and we go find time and help explain why certain times won&#x27;t work. For example, it might say: &quot;I couldn&#x27;t do 11am tomorrow because you&#x27;ve got a job interview scheduled on your personal calendar&quot;. This is safe and fine to do in a private context.<p>But... imagine if one were to ask our service (or Claude) to find time with someone and it replied to the thread for everyone to see: &quot;The soonest I could find is 12pm tomorrow. Reggie is available at 11am, but Lightbody has a job interview so it won&#x27;t work&quot;. WHOOPS.<p>I think the other comments in this thread have the right idea of it: for this to really work safely, the permissions model needs to be nailed down, and it may mean that you end up with multiple identities of &quot;Claude Tag&quot; (or whatever agent you engage with in a public forum), and the context it gets is only the context that particular identity is entitled to, just like any other employee. But then that gets tedious because now I&#x27;ve got even MORE &quot;people&quot; to keep track of and know who to engage with, which is half the problem getting work done in large enterprises.<p>Will be interesting to see how this evolves. I&#x27;ll have my popcorn out :)",1
48654093,"About half of Americans lack any access to intercity transport that isn&#x27;t a private car.[1]<p>About 15% of rural Americans aren&#x27;t within 25 miles of any intercity transit, much less interstate; low-income residents are disproportionally represented in that group. That figure jumps to 25% if you exclude suburbs, and in some states that figure is as high as 62%.[2]<p>Even as intercity bus demand has increased due to the declining quality of air travel in the US,[3] rural intercity bus access has declined. Greyhound served many rural routes until its slow collapse before being acquired by FlixBus, which is more focused on urban access than Greyhound was. The deregulation of intercity bus access in 1982, which led to the closure of many intercity routes (disproportionally in the rural Midwest) that required subsidization from more profitable routes, was a major factor.[4]<p>So &quot;what percentage of Americans can&#x27;t afford a bus ticket to the nearest city in an adjacent state&quot; is a non-starter of a question, because most of the Americans who&#x27;d _need_ an interstate bus ticket can&#x27;t even get to a bus stop without first owning a car... with which they could simply drive to another state.<p>1: <a href=""https:&#x2F;&#x2F;itdp.org&#x2F;2024&#x2F;01&#x2F;24&#x2F;high-cost-transportation-united-states&#x2F;"" rel=""nofollow"">https:&#x2F;&#x2F;itdp.org&#x2F;2024&#x2F;01&#x2F;24&#x2F;high-cost-transportation-united-...</a><p>2: <a href=""https:&#x2F;&#x2F;www.bts.gov&#x2F;data-spotlight&#x2F;85-rural-residents-have-reasonable-access-intercity-transportation-lack-reasonable"" rel=""nofollow"">https:&#x2F;&#x2F;www.bts.gov&#x2F;data-spotlight&#x2F;85-rural-residents-have-r...</a><p>3: <a href=""https:&#x2F;&#x2F;www.wsj.com&#x2F;lifestyle&#x2F;travel&#x2F;bus-travel-tickets-airline-prices-a5916ee7"" rel=""nofollow"">https:&#x2F;&#x2F;www.wsj.com&#x2F;lifestyle&#x2F;travel&#x2F;bus-travel-tickets-airl...</a><p>4: <a href=""https:&#x2F;&#x2F;www.thenation.com&#x2F;article&#x2F;society&#x2F;greyhound-bus-transit-decline&#x2F;"" rel=""nofollow"">https:&#x2F;&#x2F;www.thenation.com&#x2F;article&#x2F;society&#x2F;greyhound-bus-tran...</a>",0
48653678,"No, an airplane is a physical thing we interact with which has intrinsic value, physical transportation. This is a perfect example of what money is <i>not</i>.<p>Money is not the token (the coin or paper bill), but the component of the ledger the token represents. Sometimes there is no physical token, only an entry in a ledger (eg. digital transfers after fractional reserve banking). The intrinsic value of the metals in the dime are (usually) worth less than the face value of the denomination, hence the discussion that the _story_ is more important than the physical _token_.<p>The author of Sapiens is a very famous speaker on many topics HNers like. He’s worth a listen.",0
48652083,"I think the discrimination aspect is downstream from this fact:<p>&gt;  We follow 3.4 million people who submit 4 million job applications to 1,700 job postings across 150 employers and 11 industry sectors. Each job application was assessed by an AI hiring tool built by a single third-party vendor.<p>3.4 million people applying to just 150 employers... Who are all using just 1 platform. WTF. This is where the discrimination is happening. Why the f do 3.4 million people feel forced to apply to just 150 employers and why the f do all these 150 employers feel forced to use just one platform. WTF.",2
48652369,"&gt; <i>We find that people who submit multiple applications to positions screened by the same algorithmic hiring vendor are more likely to be rejected from every position to which they apply than would be true if the companies made decisions statistically independently from one another. Ten percent of applicants who submit four applications are rejected from all the places to which they apply.</i><p>&gt; <i>Our research also found that this pattern does not appear to be the case in other circumstances. We analyzed data from the largest prior study of hiring decisions, which sent 83,000 applications to 108 Fortune 500 firms during the same time period as our study and did not focus on whether AI was used to make decisions. We found that the rate at which applicants were rejected from every firm they applied to in this data was no higher than what you’d expect if each company decided independently of the others.</i><p>It sounds like this study was using real-world applicants, and the other study they&#x27;re comparing against was using synthetic applicants.<p>Consider the chance of being accepted as being composed of signal+bias+noise. Noise is random. Signal is a per-applicant value, and what&#x27;s meant to be measured. Bias is a per-group value, and an artifact of the measuring process.<p>If acceptance&#x2F;rejection is independent between positions applied for (as in the synthetic applicant study), that suggests that it&#x27;s random or composed entirely of noise; ie there is no signal; ie the applicants are all equally qualified.<p>If acceptance&#x2F;rejection is correlated, that means there <i>is</i> some nonzero amount of (signal+bias). But real-world applicants are <i>not</i> all identical, so there <i>should</i> be some amount of signal. So you can&#x27;t just assume zero signal in order to infer that there must be bias.",1
48653452,"And I welcome the change. In my long experience in academia, I&#x27;ve only found two types of practitioners:<p>1% are the absolutely brilliant minds that academia was originally created for. People that, without a doubt, leave their mark in the vast corpus of human knowledge. I consider myself fortunate for meeting and learning from them, and I thank the academia ecosystem for that.<p>But the remaining 99% are the maximalists, as described in the article. More papers&#x2F;students&#x2F;grants, then repeat. Worse enough, they&#x27;re absolutely <i>useless</i> outside of academia, as they never did anything <i>at all</i> outside that bubble.<p>An embarrassing lot of CS professors would stumble around your average production codebase.<p>I think AI is just the final nail in the coffin for the latter bunch, as they have been dogs eating their own tail for decades already.",1
48652005,"I just did a signup on a brand new email address and was not able to recreate. No random spam emails reported. Just a normal verification email.<p>It&#x27;s likely that the email the author received is pure coincidence. Especially if they are using a client that downloads emails in batches.<p>FWIW it looks like their validation email is sent by Customer.IO via Mailgun. Both have squeaky clean service agreements so it&#x27;s unlikely they are shooting off the data to spammers.<p><i>Edit</i>: No way! I <i>did</i> end up getting a random empty email. From a &quot;Adventure-Meter Department&quot; at bugbusterbrigade.com. The topic of the email was &quot;Scents and Memory&quot;.<p>This is a <i>really</i> weird email. It&#x27;s not a spam email, it&#x27;s some sort of attempt at inbox testing. Perhaps it&#x27;s an attempt to sniff out AI agents signing up for their service?",2
48652131,"I think this partially buries the lede: &quot;As a single hiring vendor comes to dominate screening for an industry, it may be more likely that candidates are shut out.&quot;<p>If we move to using just a small number of AI models to help do things like hiring, we will amplify biases and possibly completely lock out portions of the population.  We need to be very careful when using AI systems to evaluate people in general -- not because they might be biased (which they might be), but because even a small bias, if used by virtually everyone, can be damning.",1
48653837,"A lot of obvious LLM speech is obvious, but please spare us academics and former academics who learned how to use an em- and en-dash properly. Proper writing in general is being derided by younger folks who are too uneducated to tell the difference. I recently had someone claim my company&#x27;s website, which is virtually unchanged since 2020, was &quot;obviously AI.&quot; Yeah, kid, except you can go on Internet Archive and see it before ChatGPT was dropped.<p>But it doesn&#x27;t matter. It&#x27;s just playing chess with pigeons at that point.",0
48652517,"Even if AI is the next combustion engine, would you bet the farm on a C tier buggy whip manufacturer like Oracle being the next Ford or General Motors?",1
48653416,"I wrote this because I keep seeing “AI idea validator” tools give founders a confident score from nothing more than a pitch.<p>My argument is that AI is useful upstream for sharpening the idea, but it cannot be the verdict on demand. The interesting signal is whether strangers do anything when the offer is put in front of them.<p>Curious where people here draw the line between useful AI feedback and fake validation.",0
48653566,"As long as they&#x27;re doing ~$12B&#x2F;year in revenue, they&#x27;re likely to stick around.<p><a href=""https:&#x2F;&#x2F;news.airbnb.com&#x2F;airbnb-q4-2025-financial-results&#x2F;"" rel=""nofollow"">https:&#x2F;&#x2F;news.airbnb.com&#x2F;airbnb-q4-2025-financial-results&#x2F;</a>",0
48652871,"&gt; If you are asking “Why should I support AI efforts at all?” I believe we are in the midst of a transition more vibrant than the industrial revolution. Opinions formed a couple of years ago about the uselessness of AI are no longer valid. Millions of people and organizations are getting great returns from using it, and the demand for data centers is the market responding to the value signal. That is how progress is made!<p>Seems like a sort of shallow argument. The industrial revolution also had these same sorts of problems. Few are going to be enthused about living next to a dirty coal power plant either.<p>It&#x27;s rational for people push back against projects that create problems for them, with no compensating upside.",1
48654461,Give a chart with actual numbers on the increase in temperature versus the sun. Not a diagram from an elementary science textbook on how air conditioners work.,0
48652559,"Probably meaning C-Suite thought productivity was up because of AI, either because A) metrics showed high AI usage or more commits&#x2F;LOC or B) we&#x27;re mandating AI usage, why wouldn&#x27;t it increase?",1
48653312,"its completely ironic but outside of claude ignore&#x2F;harness rules, i&#x27;ve seen this stuff go out the window where ai is concerned or just brush it under the rug",0
48653708,"Yes, it&#x27;s a pyramid scheme. There has been no real tech growth products since Web 2.0&#x2F;mobile. VR&#x2F;Metaverse? No. Web3? No. AI is another attempt at a manufacturing a synthetic, viral &quot;growth technology&quot; because we&#x27;ve run out of easy, high-value Web 2.0 eyeballs to mine for &quot;engagement&quot;. AI blew up way bigger than web3, and arguably is a little bit less useless, but it&#x27;s basically made of the same stuff. Unless something fantastic and magical happens. But it won&#x27;t.",0
48653747,"I&#x27;ve been on a crusade against sloppy use of AI recently. A conversation between my brother and I spawned the idea of &quot;emoji reaction dog whistles&quot; and I couldn&#x27;t stop thinking about the idea until I wrote it down. Not meant to be taken very seriously, but not entirely UNseriously either",0
48653382,"Facebook hired a bunch of people from Google&#x27;s search ads division to basically replicate their real-time bidding system.<p>Their innovation isn&#x27;t in ads, it&#x27;s in creating a sticky app experience that downranks posts with external URLs to keep people on their site, one that&#x27;s now fine-tuned to retain the lowest-common denominator of technology user (boomers). Ironically, a segment that the OG Facebook avoided like the plague is now their bread and butter.<p>People who don&#x27;t understand nor care about how the system works are the ones most likely to click on targeted ads, share sensationalist slop and comment positively on AI videos of of Hegseth fighting Godzilla.<p>And even then, for ad buyers, the ROI is a complete crapshoot because of how purchase attribution works on every ads platform. Every ad platform puts their marketing pixel on your site, and they all try to take credit for every sale made on it.",0
48653582,"Sadly the ones conservative on AI tend to also be conservative on things like WFH or honoring the hacker manifesto. (Judging based on religion, national origin etc)<p>And where do we go from here? Law? Medicine? The trades?! Every path seems longer and&#x2F;or more precarious, but I feel like I&#x27;ve had the same uncertainty as my friends who were writers and artists despite losing many a night (and many a partner) because I worked longer hours but ended up in the same precarious place as my peers.",1
48652870,Most companies are not seeing 2x or 3x of value produced from developers with AI is the reason,0
48652765,"&gt; I wonder if the approximation could be useful in something like forensics from a security video?<p>No. It&#x27;s just some plausible thing the AI made up. It&#x27;s literally like asking an LLM to generate evidence of a crime based on the prompt you presented.<p>There are plenty of cool use cases, just not forensics.",1
48654543,Video games have been calling this kind of thing &quot;AI&quot; for multiple decades now.,0
48654447,&gt;&gt; Double glazing is very expensive but no one in Europe would go without it.<p>This isn’t true. I’ve lived in 3 places in London with single glazing. They’re surprisingly common. All new properties come with it but the majority of our housing stock is old.<p>There’s also little comparison between air con and double glazing. One will be helpful for 4-6 months of the year and reduce my energy bills. The other will be necessary at most 1-2 weeks a year and will cost me thousands of pounds up front. Most people simply can’t afford that.,1
48653845,"Ignoring the fact that some people don&#x27;t have arms, what&#x27;s to stop AI generating video with the required motions? However, if Google can normalize having a camera on in order to browse, then they can process your facial expressions when they show you ads. So the end game is an AI reacting to advertisements served by another AI. O brave new world...",0
48653485,&quot;Extreme Heat&quot; seems to be 37-40 degrees Celsius which is bafflingly mundane to me as an Australian who grew up in rural New South Wales. We&#x27;d pack 30 kids and a teacher into an un-airconditioned classroom with just a ceiling fan and the windows open in that temperature.<p>I imagine the buildings there just aren&#x27;t built to support that heat plus the body height of hundreds or thousands of attendees?,0
48652527,"I sometimes use LLMs as search engine replacements for finding libraries for a specific niches. Gemini is the only one that seems to routinely hallucinate Rust crates from thin air, where otherwise Google is the one most willing to let their LLM peek at a search index to have up-to-date ground facts. It&#x27;s puzzling. Definitely feels like it&#x27;s not &quot;organizing the world&#x27;s information&quot; there.",0
48653198,That’s a problem. I work quite a bit with AI now by if I didn’t have a ton of experience writing code myself things would go off the rails quickly. I often have to steer the AI in a different direction from the  initial plan it comes up with.,1
48652736,"Based on the fact that Claude Opus 4.8 decided I needed a cybersecurity exemption to debug a stupid pure virtual call bug (basically virtual method called inside of destructor) that I had already found, oh boy, I sure would <i>love</i> to have my 3D prints analyzed by Anthropic safe guards. We should also ensure that nothing shaped like a dildo can be printed without scanning our face and genitalia and keeping it on file with Persona while we&#x27;re at it.<p>I&#x27;m not mad at you for suggesting this, you&#x27;re right, I&#x27;m just generally aimlessly angry and ready for this world to burn.",2
48652714,"Fun fact:<p>There is a law in California that has been interpreted to mean that all clubbing weapons are illegal.  So if you by a length of pipe and keep it around (e.g. under your bed) explicitly for self-defense purposes, you have committed a crime.<p>IANAL, but as far as I can tell, keeping a shotgun in your home for self-defense purposes would be fine, as long as you aren&#x27;t planning ahead of time to use it as a club.<p>[edit]<p>My information is slightly out-of-date; there was an injunction against enforcement in 2024 from Fouts v Bonta.  I have no clue the injunction is or is not still in effect, so ask your lawyer before carrying a club.",1
48652384,"Quick Start Generate LoRA Adapters From metadata (JSON string or file):<p>tessera generate \   --from-metadata &#x27;{&quot;task&quot;: &quot;classification&quot;, &quot;domain&quot;: &quot;medical&quot;}&#x27; \   --base-model mistralai&#x2F;Mistral-7B-Instruct-v0.2 \   --rank 16 \   --save .&#x2F;adapter.safetensors<p>From text description:<p>tessera generate \   --from-text &quot;Medical diagnosis assistant&quot; \   --base-model mistralai&#x2F;Mistral-7B-Instruct-v0.2 \   --rank 16 \   --save .&#x2F;adapter.safetensors<p>From document:<p>tessera generate \   --from-doc .&#x2F;document.txt \   --base-model mistralai&#x2F;Mistral-7B-Instruct-v0.2 \   --rank 16 \   --save .&#x2F;adapter.safetensors<p>Base Model Management<p>Download a base model from HuggingFace Hub:<p>tessera model pull mistralai&#x2F;Mistral-7B-Instruct-v0.2 tessera model pull meta-llama&#x2F;Llama-3.1-8B-Instruct tessera model pull deepseek-ai&#x2F;DeepSeek-R1-Distill-Qwen-7B<p>Start vLLM with a base model:<p>tessera model serve-model mistralai&#x2F;Mistral-7B-Instruct-v0.2 --port 8000 tessera model serve-model mistralai&#x2F;Mistral-7B-Instruct-v0.2 --gpu-memory-utilization 0.9 tessera model serve-model mistralai&#x2F;Mistral-7B-Instruct-v0.2 --quantization awq<p>List cached base models:<p>tessera model list-models<p>Remove a cached model:<p>tessera model remove mistralai&#x2F;Mistral-7B-Instruct-v0.2<p>Start Tessera Server<p>Start the hypernetwork server (with auto vLLM):<p>tessera serve --port 8080 --base-model mistralai&#x2F;Mistral-7B-Instruct-v0.2<p>Start the hypernetwork server (standalone):<p>tessera serve --port 8080 --host 0.0.0.0 Check Server Health tessera health --url http:&#x2F;&#x2F;localhost:8080<p>List Available Models<p>tessera list",0
48653462,"I&#x27;m more of a bitmap font guy (at least, as long as my eyes continue to forgive me for it) but I&#x27;m always interested to see what other fonts there are around. It does look quite nice.<p>I must admit when I ran across the second real paragraph from the main page, I couldn&#x27;t help but only think more and more about how we will look back on marketing copy like this in a decade from now:<p><i>AI assistants produce both code and prose. MonoLisa Text renders long-form explanations with optimal readability, while MonoLisa Code keeps your code crystal clear. The perfect pairing for the AI era.</i> (Under the title <i>&quot;A perfect pairing for the AI era.&quot;</i>)<p>Ignoring the deep pit of sadness I felt when thinking about the incredibly long (and revolutionary) history of typefaces that led us to today for just a moment, I&#x27;m honestly curious how effective this marketing is. How many people would assume a font would be suitable for general text but not LLM-generated text and would need to be dissuaded from that notion? I wonder if someone has started selling keyboards that are &quot;perfect for prompting&quot; (but I&#x27;m too scared to look at this stage).",1
48653441,"You are right and this is the way, it&#x27;s just a lot easier said than done, especially the quizzes&#x2F;exams part.<p>There is a tension between: - authentic assessments (not multiple choice&#x2F; - grading resources - computer lab availability - students using AI in very discreet ways on their own laptop when taking an in-person exam<p>So overall you are on point, it&#x27;s just really hard to do honest authentic assessment at scale right now (in person or otherwise).<p>I see a potential for it to get much better, or much worse... Hard to tell which way it will go right now.",0
48651734,"Unless you believe that Black people are racially inferior, I think this is simply evidence of racial discrimination at a systemic level, from education through employment. AI merely reenforces the systems built to favor white people.",1
48654188,"People tend to rely on air temperatures when in reality the lethality of heat is probably more linked to the wet-bulb temperature.<p>The human body has a natural resting temperature of about 37°C, and metabolism of course generates more heat constantly, so we constantly have to shed that heat. When the temperature is low, we can rely purely on conducting the heat into the atmosphere to shed the heat (which is probably why internal body temperature is higher than the atmosphere!). At higher temperatures, conduction is less efficient, or sometimes even adds heat load into the system (at above 37°C, obviously), so we start relying on evaporative cooling (i.e., sweat) to cool us down.<p>The wet-bulb temperature is the minimum temperature that can be reached by evaporative cooling. So when the wet-bulb temperature is in the mid-30s °C… people start to become literally unable to regulate their core body temperature, and the heat is lethal. Wet-bulb is largely a combination of the temperature and humidity, but unfortunately, it&#x27;s not typically reported in most weather reports, so people go off of the air temperature (and the humidity) that is reported.<p>Which is a long-winded way of saying &quot;the humidity matters <i>a lot</i> for how much a given temperature is bearable.&quot; I don&#x27;t know what environment you come from purely by rural New South Wales, but my first guess is the semi-arid and thus low-humidity bush regions of the state, which means the apparent wet-bulb temperature of 37-40°C would be a lot lower than the equivalent 37-40°C for most of the humid continental climates of Europe.",1
48654375,"Hah! Thanks for whomever posted this. This is my little baby&#x2F;project and I&#x27;d like to share a little about it... Quite some years ago (before all this AI Hype) I ventured on trying to deeply understand how Linux containers worked. At first I built a shell script called `box` that used the Busybox `unshare` utility to create little isolated namespaces&#x2F;cgroups where you could &quot;box&quot; your little program on the root file-system. Later on I decided to write box in Go.<p>box now is basically a fully capable lightweight daemon-less container runtime, much like podman (but no rootless, not yet). Along with another project I also wrote called sshbox that is basically an SSH reverse prox; are what powered mbox.blue<p>mbox.blue is basically an experimental shared Linux system based around the core idea of persisetnt containers. All home grown.",0
